Number of Days with Rainfall > 20mm - (Days), Year, Model, Month, ISO3
0.1161, 2020-2039, mri_cgcm3, Dec, IND
No Data, 2020-2039, mri_esm1, Jan, IND
-0.0384, 2020-2039, noresm1_m, Jan, IND
-0.0132, 2020-2039, noresm1_m, Feb, IND
0.00324, 2020-2039, noresm1_m, Mar, IND
-0.0249, 2020-2039, noresm1_m, Apr, IND
0.01193, 2020-2039, noresm1_m, May, IND
0.17543, 2020-2039, noresm1_m, Jun, IND
0.38764, 2020-2039, noresm1_m, Jul, IND
0.30775, 2020-2039, noresm1_m, Aug, IND
0.12159, 2020-2039, noresm1_m, Sep, IND
0.09911, 2020-2039, noresm1_m, Oct, IND
-0.0796, 2020-2039, noresm1_m, Nov, IND
0.17183, 2020-2039, noresm1_m, Dec, IND
No Data, 2020-2039, access1_0, Jan, IND
No Data, 2020-2039, access1_3, Jan, IND
0.29774, 2020-2039, bcc_csm1_1_m, Jan, IND
1.31022, 2020-2039, bcc_csm1_1, Jan, IND
1.23129, 2020-2039, bnu_esm, Jan, IND
0.41418, 2020-2039, canesm2, Jan, IND
0.47307, 2020-2039, ccsm4, Jan, IND
No Data, 2020-2039, cesm1_bgc, Jan, IND
0.05048, 2020-2039, cesm1_cam5, Jan, IND
No Data, 2020-2039, cmcc_cesm, Jan, IND
No Data, 2020-2039, cmcc_cm, Jan, IND
No Data, 2020-2039, cmcc_cms, Jan, IND
0.04943, 2020-2039, cnrm_cm5, Jan, IND
0.20784, 2020-2039, csiro_mk3_6_0, Jan, IND
0.54356, 2020-2039, gfdl_cm3, Jan, IND
0.56455, 2020-2039, gfdl_esm2g, Jan, IND
0.29021, 2020-2039, gfdl_esm2m, Jan, IND
1.25368, 2020-2039, hadgem2_ao, Jan, IND
No Data, 2020-2039, hadgem2_cc, Jan, IND
1.32375, 2020-2039, hadgem2_es, Jan, IND
No Data, 2020-2039, inmcm4, Jan, IND
0.51193, 2020-2039, ipsl_cm5a_lr, Jan, IND
0.91778, 2020-2039, ipsl_cm5a_mr, Jan, IND
No Data, 2020-2039, ipsl_cm5b_lr, Jan, IND
0.35107, 2020-2039, miroc5, Jan, IND
1.03447, 2020-2039, miroc_esm_chem, Jan, IND
0.14138, 2020-2039, miroc_esm, Jan, IND
0.3533, 2020-2039, mpi_esm_lr, Jan, IND
0.69673, 2020-2039, mpi_esm_mr, Jan, IND
0.39824, 2020-2039, mri_cgcm3, Jan, IND
No Data, 2020-2039, mri_esm1, Jan, IND
1.11716, 2020-2039, noresm1_m, Jan, IND
